age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,roledepartament,numberchildren,remotework,fin
51,No,,2015.72,,6,3,,1,1,M,3,5, research director ,3,,"16280,83$",42330.17,7,No,13,"3,0",3,Full Time,0,,5,"3,0",20,,15,15,1972,"195370,00$",,,Yes,2023
52,No,,2063.39,,1,4,Life Sciences,2,3,M,2,5, manager ,3,,,43331.17,0,,14,"3,0",1,,1,"34,0",5,"3,0",33,,11,9,1971,"199990,00$",,,Yes,2023
42,No,travel_rarely,1984.25, Research & Development ,4,2,Technical Degree,3,3,M,3,5, manager ,4,Married,,41669.33,1,No,11,"3,0",4,,0,"22,0",3,,22,,11,15,1981,"192320,00$", ManaGER  -  Research & Development ,,Yes,2023
47,No,travel_rarely,1771.4,,2,4,Medical,4,1,F,3,4, research director ,3,Married,"14307,50$",37199.5,3,,19,"3,0",2,Full Time,2,,2,,20,,5,6,1976,"171690,00$",,,No,2023
46,No,,1582.77,,3,3,Technical Degree,5,1,F,4,4, sales executive ,1,Divorced,"12783,92$",33238.2,2,No,12,"3,0",4,,1,,5,"3,0",19,,2,8,1977,"12783,92$12783,92$12783,92$12783,92$12783,92$12783,92$12783,92$12783,92$12783,92$12783,92$12783,92$12783,92$",,,No,2023
48,No,,1771.92, Research & Development ,22,3,Medical,6,4,F,3,4, manager ,4,,"14311,67$",37210.33,3,No,11,"3,0",2,,1,,3,"3,0",22,,4,7,1975,"14311,67$14311,67$14311,67$14311,67$14311,67$14311,67$14311,67$14311,67$14311,67$14311,67$14311,67$14311,67$", MANAger  -  Research & Development ,,Yes,2023
59,No,,1032.49,,25,3,Life Sciences,7,1,F,3,3, sales executive ,1,,"8339,32$",21682.23,7,,11,"3,0",4,Part Time,0,"28,0",3,"2,0",21,,7,9,1964,"100071,84$",,,Yes,2023
42,No,travel_rarely,556.26,,1,1,,8,2,M,3,2, sales executive ,3,Married,,11681.39,1,No,25,"4,0",3,Part Time,0,"20,0",3,"3,0",20,,11,6,1981,"53914,11$",,,No,2023
41,No,,1712.18,,2,5,,9,2,F,3,4, manager ,1,Married,"13829,17$",35955.83,7,No,16,"3,0",2,Full Time,1,"22,0",2,"3,0",18,,11,8,1982,"165950,00$",,,Yes,2023
41,No,travel_frequently,1973.98,,9,3,,10,1,M,3,5, research director ,3,,"15943,72$",41453.67,2,No,17,"3,0",2,,1,"21,0",2,"4,0",18,,0,11,1982,"15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$",,,No,2023
41,No,non-travel,2060.71,,7,1,,11,2,F,1,5, research director ,3,,"16644,17$",43274.83,1,No,22,"4,0",2,Full Time,2,,3,"3,0",21,,5,10,1982,"199730,00$",,,No,2023
56,No,travel_rarely,1382.75,,23,3,Life Sciences,12,4,M,3,4, manufacturing director ,2,Married,,29037.67,4,Yes,12,,1,Full Time,1,"33,0",0,"3,0",19,,15,9,1967,"134020,00$",,,No,2023
38,No,,1362.52,,10,3,Medical,13,2,F,1,3, research director ,3,Married,,28613.0,3,No,12,"3,0",1,Full Time,1,,3,"3,0",18,,1,11,1985,"132060,00$",,,Yes,2023
41,Yes,travel_rarely,2016.55,,12,3,,14,2,F,3,5, research director ,3,Married,,42347.5,1,No,12,"3,0",4,Full Time,0,,0,"3,0",22,,15,8,1982,"195450,00$",,,No,2023
55,No,,1973.98,,14,4,Medical,15,3,M,4,5, research director ,2,Single,"15943,72$",41453.67,8,No,11,"3,0",4,,0,,3,"3,0",24,,2,15,1968,"15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$15943,72$",,,Yes,2023
40,No,travel_rarely,1861.37,,2,4,,16,3,F,3,5, manager ,3,,"15034,17$",39088.83,0,No,14,"3,0",4,Full Time,0,,2,"3,0",20,,1,12,1983,"180410,00$",,,No,2023
58,Yes,travel_rarely,1985.7,,2,4,,17,4,M,3,5, research director ,2,Single,"16038,33$",41699.67,7,Yes,12,"3,0",4,Full Time,0,"40,0",2,"3,0",31,,13,8,1965,"192460,00$",,,No,2023
46,No,travel_rarely,1582.77,,2,3,,18,3,F,3,4, manager ,1,,"12783,92$",33238.2,8,,23,"4,0",1,,0,"28,0",2,"3,0",26,,15,9,1977,"12783,92$12783,92$12783,92$12783,92$12783,92$12783,92$12783,92$12783,92$12783,92$12783,92$12783,92$12783,92$",,,No,2023
35,No,,556.26,,13,5,Life Sciences,19,2,M,4,2, research scientist ,1,Married,"4492,84$",11681.39,1,,11,"3,0",4,,0,,2,"3,0",16,,1,10,1988,"4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$",,,No,2023
40,No,travel_rarely,1032.49,,15,3,Life Sciences,20,1,F,2,3, manufacturing director ,3,,"8339,32$",21682.23,1,,13,"3,0",4,,2,"18,0",2,,18,,14,12,1983,"8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$",,,Yes,2023
45,No,non-travel,1108.92, Research & Development ,1,1,,21,3,M,2,3, healthcare representative ,3,,"8956,67$",23287.33,3,,23,"4,0",4,Full Time,1,"25,0",3,"2,0",23,,14,4,1978,"107480,00$", heaLtHcArE repResENtATiVe  -  Research & Development ,,No,2023
33,No,,1032.49,,1,2,Life Sciences,22,1,F,3,3, research director ,4,Single,,21682.23,1,Yes,12,"3,0",3,Part Time,0,"15,0",1,"3,0",15,,8,12,1990,"100071,84$",,,Yes,2023
36,No,,1032.49,,8,3,,23,3,F,3,3, healthcare representative ,3,Divorced,,21682.23,1,,13,,2,,3,"17,0",2,"3,0",17,,12,8,1987,"100071,84$",,,Yes,2023
47,No,,1728.38,,2,2,Other,24,3,F,3,4, manager ,4,Married,,36296.0,1,,11,"3,0",3,Full Time,1,,3,"2,0",26,,3,0,1976,"167520,00$",,,No,2023
36,No,travel_rarely,639.79,,42,2,Life Sciences,25,42,M,3,2, sales executive ,4,,"5167,50$",13435.5,1,,14,"3,0",4,Full Time,1,"18,0",1,,18,,4,11,1987,"62010,00$",,,Yes,2023
35,No,,1032.49,,9,3,Life Sciences,26,4,F,2,3, manufacturing director ,3,Married,,21682.23,1,Yes,20,"4,0",2,Part Time,1,"17,0",2,"3,0",17,,5,15,1988,"100071,84$",,,No,2023
52,Yes,,2047.5,,2,1,,27,1,F,1,5, manager ,4,Married,,42997.5,1,No,15,"3,0",4,Full Time,1,"33,0",3,"3,0",32,,6,9,1971,"198450,00$",,,Yes,2023
36,No,,556.26,,2,4,Life Sciences,28,3,F,3,2, manufacturing director ,2,Single,"4492,84$",11681.39,9,Yes,11,"3,0",4,,0,"18,0",2,"3,0",16,,5,12,1987,"53914,11$",,,No,2023
33,No,travel_rarely,556.26,,28,4,Life Sciences,29,2,M,3,2, laboratory technician ,3,Married,"4492,84$",11681.39,1,,12,"3,0",2,Part Time,1,"15,0",3,"3,0",15,,5,7,1990,"53914,11$",,,Yes,2023
34,No,non-travel,412.8, Sales ,10,3,Life Sciences,30,4,M,3,2, sales executive ,3,,"3334,17$",8668.83,1,Yes,14,"3,0",3,Part Time,1,"15,0",3,"3,0",15,,0,7,1989,"40010,00$", saLEs exEcutIVe  -  Sales ,,Yes,2023
41,No,,1077.87, Sales ,37,1,,31,37,F,3,3, sales executive ,3,Divorced,"8705,83$",22635.17,0,,13,"3,0",4,Full Time,1,,3,"4,0",22,,13,5,1982,"104470,00$", Sales ExECuTIVe  -  Sales ,,Yes,2023
47,No,,1032.49, Research & Development ,25,3,Medical,32,1,M,3,3, healthcare representative ,3,,"8339,32$",21682.23,2,,23,"4,0",2,,0,"25,0",3,"3,0",17,,12,11,1976,"8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$8339,32$", heALthCArE RePResEntaTIVe  -  Research & Development ,,Yes,2023
53,No,travel_rarely,1973.98,,5,3,,33,3,F,3,5, manager ,3,,"15943,72$",41453.67,4,,11,"3,0",4,Full Time,1,"26,0",3,"2,0",14,,4,8,1970,"191324,62$",,,Yes,2023
35,No,,556.26,,1,4,Marketing,34,3,M,2,2, sales executive ,1,Single,"4492,84$",11681.39,0,No,14,,2,Part Time,0,"16,0",2,"3,0",15,,2,8,1988,"53914,11$",,,No,2023
34,No,travel_rarely,556.26,,6,4,Other,35,1,F,3,2, research scientist ,3,Single,"4492,84$",11681.39,1,,14,"3,0",3,,0,"16,0",3,"3,0",16,,2,10,1989,"4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$4492,84$",,,Yes,2023
46,No,travel_rarely,1032.49,,1,2,,36,2,F,3,3, sales executive ,1,Divorced,"8339,32$",21682.23,1,No,25,"4,0",3,Part Time,3,"24,0",2,"3,0",24,,15,7,1977,"100071,84$",,,Yes,2023
43,No,,1657.4,,16,3,,37,4,F,3,4, manager ,4,Married,,34805.33,5,,22,"4,0",3,Full Time,1,"22,0",3,"3,0",17,,1,9,1980,"160640,00$",,,Yes,2023
36,No,,331.19, Research & Development ,6,3,Life Sciences,38,4,M,3,1, laboratory technician ,4,Married,"2675,00$",6955.0,0,,11,"3,0",3,Full Time,1,"16,0",4,"3,0",15,,10,11,1987,"32100,00$", lABORAtOry tECHnIcIan  -  Research & Development ,,Yes,2023
60,No,travel_frequently,1059.19,,28,3,,39,3,F,2,3, sales executive ,1,Married,"8555,00$",22243.0,4,No,19,"3,0",4,Full Time,0,"22,0",5,"4,0",18,"13,0",13,11,1963,"102660,00$",,,Yes,2023
40,No,travel_frequently,1080.75,,5,4,,40,4,M,2,3, sales executive ,1,Married,"8729,17$",22695.83,5,Yes,21,"4,0",3,Full Time,1,"20,0",2,"3,0",18,,1,12,1983,"104750,00$",,,No,2023
32,No,travel_rarely,635.76,,4,3,,41,3,F,2,2, manufacturing director ,3,Married,,13351.0,1,No,12,"3,0",3,Full Time,1,"14,0",3,"3,0",14,,6,8,1991,"61620,00$",,,No,2023
41,No,travel_rarely,487.09,,35,3,,42,35,M,3,1, laboratory technician ,1,Single,"3934,17$",10228.83,2,Yes,13,,3,Full Time,0,"20,0",3,"3,0",18,,2,17,1982,"47210,00$",,,Yes,2023
53,No,,1582.77,,2,2,Medical,43,3,M,3,4, manager ,3,Divorced,"12783,92$",33238.2,6,No,13,"3,0",3,Full Time,1,"22,0",3,"4,0",17,,15,2,1970,"153407,07$",,,No,2023
36,Yes,travel_rarely,290.04,,16,4,,44,3,F,4,1, laboratory technician ,1,Single,,6090.75,1,,16,"3,0",3,Part Time,0,"18,0",1,"3,0",17,,15,14,1987,"28111,13$",,,Yes,2023
46,No,,476.15,,8,4,Life Sciences,45,4,F,2,2, research scientist ,1,Divorced,"3845,83$",9999.17,8,Yes,23,"4,0",1,Part Time,3,,2,"3,0",16,,1,7,1977,"46150,00$",,,No,2023
38,No,travel_rarely,556.26,,1,4,,46,4,M,3,2, sales executive ,2,Married,"4492,84$",11681.39,0,No,15,"3,0",1,,2,"16,0",3,,15,,5,8,1985,"53914,11$",,,Yes,2023
51,No,,1032.49,,1,4,,47,1,F,2,3, healthcare representative ,1,Single,"8339,32$",21682.23,3,,20,"4,0",3,Part Time,0,"23,0",1,"2,0",13,,12,8,1972,"100071,84$",,,Yes,2023
43,No,,1749.74,,26,2,,48,3,M,3,4, manager ,4,Married,"14132,50$",36744.5,1,Yes,12,"3,0",4,Full Time,2,"25,0",3,"4,0",25,,4,12,1980,"169590,00$",,,Yes,2023
37,No,,290.04,,1,3,Life Sciences,49,4,F,3,1, research scientist ,4,Single,,6090.75,1,No,12,"3,0",2,Part Time,0,,3,"3,0",17,,5,7,1986,"28111,13$",,,Yes,2023
32,No,travel_rarely,556.26,,8,2,Technical Degree,50,3,F,2,2, sales executive ,2,Married,,11681.39,1,Yes,11,"3,0",4,Part Time,0,,2,"3,0",13,"12,0",11,9,1991,"53914,11$",,,Yes,2023
38,No,,1032.49,,1,3,,51,4,F,3,3, research director ,1,Married,"8339,32$",21682.23,1,,13,"3,0",2,Part Time,1,"15,0",3,"3,0",15,,5,11,1985,"100071,84$",,,No,2023
